Object	Object type	Related Gene	Topological rank	Relevance rank	Expression rank
eukaryotic translation initiation factor 5A [Homo sapiens]	Protein	EIF5A	4	1	1.044069483
sine oculis homeobox homolog 3 [Homo sapiens]	Protein	SIX3	10	0	1.003207783
nuclear factor (erythroid-derived 2)-like 3 [Homo sapiens]	Protein	NFE2L3	2	1	0.759600327
v-maf musculoaponeurotic fibrosarcoma oncogene homolog K [Homo sapiens]	Protein	MAFK	20	1	1.1401847
BTB and CNC homology 1, basic leucine zipper transcription factor 2 [Homo sapiens]	Protein	BACH2	7	1	0.869417568
nuclear respiratory factor 1 [Homo sapiens]	Protein	NRF1	7	1	0.969850231
agouti signaling protein precursor [Homo sapiens]	Protein	ASIP	6	0	0.626054489
melanocortin 2 receptor [Homo sapiens]	Protein	MC2R	3	1	0.784816348
similar to USP6 N-terminal-like protein (Related to the N terminus of tre) (RN-tre) isoform 5 [Homo sapiens]	Protein	USP6NL	6	1	0.772652847
angiopoietin 1 [Homo sapiens]	Protein	ANGPT1	3	3	1.395929699
sodium channel, nonvoltage-gated 1 alpha [Homo sapiens]	Protein	SCNN1A	6	1	0.714436949
solute carrier family 1, member 4 [Homo sapiens]	Protein	SLC1A4	2	0	1.032028126
phospholipase C, beta 3 (phosphatidylinositol-specific) [Homo sapiens]	Protein	PLCB3	8	1	0.894762734
gamma-aminobutyric acid (GABA) A receptor, gamma 3 [Homo sapiens]	Protein	GABRG3	2	2	0.806484728
CC chemokine receptor 10 [Homo sapiens]	Protein	CCR10	5	1	1.197227903
chemokine (C-C motif) receptor 7 precursor [Homo sapiens]	Protein	CCR7	3	1	0.456742515
programmed cell death 1 precursor [Homo sapiens]	Protein	PDCD1	3	1	0.61819838
chemokine (C motif) ligand 1 [Homo sapiens]	Protein	XCL1	5	1	0.512977303
XC chemokine receptor 1 [Homo sapiens]	Protein	XCR1	3	1	1.068572412
orthodenticle 2 isoform a [Homo sapiens]	Protein	OTX2	3	0	0.370001506
LIM homeobox transcription factor 1, alpha isoform c [Homo sapiens]	Protein	LMX1A	3	1	0.821272594
islet-1 [Homo sapiens]	Protein	ISL1	9	1	0.692418858
pericentriolar material 1 [Homo sapiens]	Protein	PCM1	17	2	1.096293391
solute carrier family 1, member 2 [Homo sapiens]	Protein	SLC1A2	2	0	0.716182867
aquaporin 4 isoform a [Homo sapiens]	Protein	AQP4	2	2	2.857205615
tumor necrosis factor (ligand) superfamily, member 4 [Homo sapiens]	Protein	TNFSF4	2	0	0.651921571
tumor necrosis factor receptor superfamily, member 4 precursor [Homo sapiens]	Protein	TNFRSF4	5	0	1.303376001
synaptotagmin IX [Homo sapiens]	Protein	SYT9	8	0	0.60175079
nucleolar protein family A, member 1 [Homo sapiens]	Protein	NOLA1	2	1	1.020837377
LIM homeobox protein 3 isoform b [Homo sapiens]	Protein	LHX3	7	1	1.243633865
ISL2 transcription factor, LIM/homeodomain, (islet-2) [Homo sapiens]	Protein	ISL2	4	1	0.274219694
LIM homeobox protein 1 [Homo sapiens]	Protein	LHX1	2	1	1.181286545
RAD51-like 3 isoform 1 [Homo sapiens]	Protein	RAD51L3	7	0	0.74209718
bone marrow stromal cell antigen 1 precursor [Homo sapiens]	Protein	BST1	7	1	0.811694461
slit homolog 1 [Homo sapiens]	Protein	SLIT1	3	0	0.933584061
peroxisome proliferative activated receptor, delta [Homo sapiens]	Protein	PPARD	15	2	1.110786202
guanylate binding protein 3 [Homo sapiens]	Protein	GBP3	2	0	0.627561041
glutathione S-transferase theta 2 [Homo sapiens]	Protein	GSTT2	23	1	1.19716029
tripartite motif-containing 25 [Homo sapiens]	Protein	TRIM25	4	0	0.962795761
cathepsin K preproprotein [Homo sapiens]	Protein	CTSK	8	3	1.033469446
TBP-like 1 [Homo sapiens]	Protein	TBPL1	14	0	0.944508534
RecQ protein-like isoform 1 [Homo sapiens]	Protein	RECQL	5	1	1.025738103
neuregulin 2 isoform 1 [Homo sapiens]	Protein	NRG2	3	0	1.166498784
ring finger protein 41 isoform 1 [Homo sapiens]	Protein	RNF41	3	1	1.171231522
cytoplasmic cysteine conjugate-beta lyase [Homo sapiens]	Protein	CCBL1	6	2	0.791134794
diphosphomevalonate decarboxylase [Homo sapiens]	Protein	MVD	10	2	1.089523814
NK2 transcription factor related, locus 5 [Homo sapiens]	Protein	NKX2-5	8	1	0.970924212
phosphodiesterase 5A isoform 1 [Homo sapiens]	Protein	PDE5A	7	1	1.440066579
signal recognition particle 72kDa [Homo sapiens]	Protein	SRP72	3	0	0.945675254
serine/threonine kinase 2 [Homo sapiens]	Protein	SLK	2	0	1.075354041
poly (ADP-ribose) glycohydrolase [Homo sapiens]	Protein	PARG	3	1	1.114603403
Golgi reassembly stacking protein 1 [Homo sapiens]	Protein	GORASP1	10	1	1.273935532
caspase 2 isoform 1 preproprotein [Homo sapiens]	Protein	CASP2	19	2	0.883558217
protein phosphatase 2, regulatory subunit B'', alpha isoform 1 [Homo sapiens]	Protein	PPP2R3A	7	0	1.695088942
protein phosphatase 5, catalytic subunit [Homo sapiens]	Protein	PPP5C	16	1	0.959341469
cryptochrome 2 (photolyase-like) [Homo sapiens]	Protein	CRY2	4	1	1.395942712
MADS box transcription enhancer factor 2, polypeptide D (myocyte enhancer factor 2D) [Homo sapiens]	Protein	MEF2D	10	2	1.296013882
mitogen-activated protein kinase 7 isoform 1 [Homo sapiens]	Protein	MAPK7	16	1	0.912177913
twist homolog 2 [Homo sapiens]	Protein	TWIST2	3	1	0.870337557
MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C) [Homo sapiens]	Protein	MEF2C	14	1	1.401591666
SRY-box 18 [Homo sapiens]	Protein	SOX18	2	0	0.888092863
NACHT, leucine rich repeat and PYD containing 4 [Homo sapiens]	Protein	NALP4	4	0	0.42333014
melatonin receptor 1A [Homo sapiens]	Protein	MTNR1A	26	1	0.849596262
potassium inwardly-rectifying channel J2 [Homo sapiens]	Protein	KCNJ2	9	1	1.653563696
calcium/calmodulin-dependent protein kinase II gamma isoform 6 [Homo sapiens]	Protein	CAMK2G	12	2	1.176615743
POU domain, class 3, transcription factor 1 [Homo sapiens]	Protein	POU3F1	3	2	1.216513524
ADP-ribosylation factor-like 6 interacting protein [Homo sapiens]	Protein	ARL6IP	7	3	0.823201744
interferon-induced protein 35 [Homo sapiens]	Protein	IFI35	3	1	0.815619378
neuronal pentraxin receptor isoform 1 [Homo sapiens]	Protein	NPTXR	3	0	0.990234947
matrix metalloproteinase 14 preproprotein [Homo sapiens]	Protein	MMP14	14	1	0.792807116
synapsin II isoform IIb [Homo sapiens]	Protein	SYN2	4	0	0.851560116
cyclin G2 [Homo sapiens]	Protein	CCNG2	4	2	0.892138076
bridging integrator 1 isoform 8 [Homo sapiens]	Protein	BIN1	16	2	1.201804735
GTPase regulator associated with the focal adhesion kinase pp125 [Homo sapiens]	Protein	ARHGAP26	4	1	0.818839819
melanoma-associated chondroitin sulfate proteoglycan 4 [Homo sapiens]	Protein	CSPG4	4	2	1.960492241
ubiquilin 1 isoform 1 [Homo sapiens]	Protein	UBQLN1	12	1	0.758606911
anterior pharynx defective 1 homolog A [Homo sapiens]	Protein	APH1A	6	1	0.842668204
neural precursor cell expressed, developmentally down-regulated 4 isoform 1 [Homo sapiens]	Protein	NEDD4	23	2	1.571135145
sodium channel, nonvoltage-gated 1, beta [Homo sapiens]	Protein	SCNN1B	9	0	0.767951983
sodium channel, nonvoltage-gated 1, gamma [Homo sapiens]	Protein	SCNN1G	7	1	0.844751894
WW domain containing E3 ubiquitin protein ligase 2 isoform 1 [Homo sapiens]	Protein	WWP2	17	2	0.883710611
forkhead box H1 [Homo sapiens]	Protein	FOXH1	6	1	1.065353623
peptide YY [Homo sapiens]	Protein	PYY	4	1	1.175274771
synaptotagmin V [Homo sapiens]	Protein	SYT5	7	0	1.143500674
ankyrin repeat and SOCS box-containing 8 [Homo sapiens]	Protein	ASB8	3	1	1.312630361
suppressor of cytokine signaling 6 [Homo sapiens]	Protein	SOCS6	8	0	1.277309494
resistin [Homo sapiens]	Protein	RETN	4	1	0.951500031
poliovirus receptor-related 2 (herpesvirus entry mediator B) [Homo sapiens]	Protein	PVRL2	5	1	0.81751331
growth differentiation factor 9 precursor [Homo sapiens]	Protein	GDF9	42	1	0.651584031
cyclin L1 [Homo sapiens]	Protein	CCNL1	3	2	0.885796724
fragile X mental retardation-related protein 1 isoform b [Homo sapiens]	Protein	FXR1	14	2	1.158144109
mindbomb homolog 1 [Homo sapiens]	Protein	MIB1	3	2	1.029913761
chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1) isoform beta [Homo sapiens]	Protein	CXCL12	7	4	1.680755669
GDNF family receptor alpha 1 isoform a preproprotein [Homo sapiens]	Protein	GFRA1	4	1	1.323682132
GDNF family receptor alpha 2 preproprotein [Homo sapiens]	Protein	GFRA2	2	1	1.054069841
chromodomain helicase DNA binding protein 1 [Homo sapiens]	Protein	CHD1	8	1	0.752136896
nuclear receptor subfamily 1, group D, member 1 [Homo sapiens]	Protein	NR1D1	4	1	0.428888897
nuclear receptor subfamily 1, group D, member 2 [Homo sapiens]	Protein	NR1D2	2	1	1.354413049
nuclear receptor co-repressor 1 [Homo sapiens]	Protein	NCOR1	37	1	1.006840727
homeo box (expressed in ES cells) 1 [Homo sapiens]	Protein	HESX1	3	1	0.772598124
nuclear receptor subfamily 6, group A, member 1 isoform 2 [Homo sapiens]	Protein	NR6A1	5	2	0.786624093
hairy/enhancer-of-split related with YRPW motif 2 [Homo sapiens]	Protein	HEY2	7	0	1.760970106
regulator of G-protein signalling 2, 24kDa [Homo sapiens]	Protein	RGS2	29	2	0.881403037
HIV-1 Rev binding protein [Homo sapiens]	Protein	HRB	5	1	0.843726511
G protein-coupled receptor kinase 6 isoform C [Homo sapiens]	Protein	GRK6	13	1	0.775574738
endothelin receptor type B isoform 1 [Homo sapiens]	Protein	EDNRB	7	3	1.23339809
potassium inwardly-rectifying channel J6 [Homo sapiens]	Protein	KCNJ6	7	1	0.969006885
PGC-1 related co-activator [Homo sapiens]	Protein	PPRC1	4	1	1.001358138
chemokine (C-X-C motif) receptor 3 [Homo sapiens]	Protein	CXCR3	7	3	0.582536613
small inducible cytokine B9 precursor [Homo sapiens]	Protein	CXCL9	2	2	0.859354952
chemokine (C-X-C motif) ligand 13 (B-cell chemoattractant) [Homo sapiens]	Protein	CXCL13	6	2	0.805489462
G protein-coupled receptor 10 [Homo sapiens]	Protein	PRLHR	5	0	0.821990345
prolactin releasing hormone receptor [Homo sapiens]	Protein	PRLHR	5	0	0.821990345
urotensin 2 receptor [Homo sapiens]	Protein	UTS2R	3	1	0.666131574
myosin light chain kinase isoform 6 [Homo sapiens]	Protein	MYLK	11	1	1.281180579
protoporphyrinogen oxidase [Homo sapiens]	Protein	PPOX	8	1	0.876103588
protein tyrosine phosphatase, receptor type, E isoform 1 precursor [Homo sapiens]	Protein	PTPRE	5	4	0.535849958
potassium inwardly-rectifying channel J8 [Homo sapiens]	Protein	KCNJ8	7	2	1.871324057
hyaluronan-mediated motility receptor isoform a [Homo sapiens]	Protein	HMMR	2	1	0.651447334
Kruppel-like factor 13 [Homo sapiens]	Protein	KLF13	3	1	0.917755501
corticotropin releasing hormone receptor 2 [Homo sapiens]	Protein	CRHR2	4	1	0.804570708
corticotropin releasing hormone receptor 1 [Homo sapiens]	Protein	CRHR1	6	1	1.012782297
corticotropin releasing hormone binding protein [Homo sapiens]	Protein	CRHBP	2	0	0.892605718
huntingtin-associated protein 1 isoform 1 [Homo sapiens]	Protein	HAP1	49	1	0.976188131
arylalkylamine N-acetyltransferase [Homo sapiens]	Protein	AANAT	5	1	1.294906872
tubulointerstitial nephritis antigen [Homo sapiens]	Protein	TINAG	3	0	0.597054217
sal-like 1 [Homo sapiens]	Protein	SALL1	7	2	0.808283809
tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase [Homo sapiens]	Protein	TNKS	14	0	1.217892299
interleukin 18 proprotein [Homo sapiens]	Protein	IL18	5	1	1.101942979
interleukin 18 binding protein precursor [Homo sapiens]	Protein	IL18BP	2	1	0.923616426
death-associated protein [Homo sapiens]	Protein	DAP	4	1	0.648298641
anti-Mullerian hormone [Homo sapiens]	Protein	AMH	3	2	1.158783826
Regulator of G-protein signaling 4 [Homo sapiens]	Protein	RGS4	12	1	1.083082679
lymphotoxin beta receptor [Homo sapiens]	Protein	LTBR	13	1	0.755774892
nuclear receptor subfamily 3, group C, member 2 [Homo sapiens]	Protein	NR3C2	9	1	1.574611103
membrane-bound transcription factor site-1 protease isoform 1 preproprotein [Homo sapiens]	Protein	MBTPS1	5	2	0.89056578
cAMP responsive element binding protein-like 1 [Homo sapiens]	Protein	CREBL1	4	1	1.131389091
follistatin-like 3 glycoprotein [Homo sapiens]	Protein	FSTL3	4	1	0.93061604
claudin 5 [Homo sapiens]	Protein	CLDN5	5	3	1.381887038
claudin 7 [Homo sapiens]	Protein	CLDN7	3	1	0.527734836
calcium channel, voltage-dependent, alpha 1E subunit [Homo sapiens]	Protein	CACNA1E	2	1	0.820338535
G protein-coupled receptor 125 [Homo sapiens]	Protein	GPR125	2	1	1.366094229
potassium inwardly-rectifying channel J12 [Homo sapiens]	Protein	KCNJ12	14	1	2.195046929
Niemann-Pick disease, type C2 precursor [Homo sapiens]	Protein	NPC2	3	2	0.997178389
glutaminase GA isoform a [Homo sapiens]	Protein	GLS2	6	2	0.662340529
semaphorin 4B precursor [Homo sapiens]	Protein	SEMA4B	2	0	0.633186477
CUG triplet repeat, RNA-binding protein 1 isoform 3 [Homo sapiens]	Protein	CUGBP1	7	2	1.064621493
ubiquitin-conjugating enzyme E2H isoform 2 [Homo sapiens]	Protein	UBE2H	5	1	1.143863072
thioredoxin reductase 1 [Homo sapiens]	Protein	TXNRD1	5	1	1.134296969
palmitoylated membrane protein 3 [Homo sapiens]	Protein	MPP3	21	1	0.930369681
glutamate receptor, metabotropic 3 precursor [Homo sapiens]	Protein	GRM3	5	1	0.816103585
small inducible cytokine A11 precursor [Homo sapiens]	Protein	CCL11	6	1	1.411459067
small inducible cytokine A16 precursor [Homo sapiens]	Protein	CCL16	5	0	0.936310082
chemokine (C-C motif) ligand 3-like 1 precursor [Homo sapiens]	Protein	CCL3L1	4	0	0
chemokine (C-C motif) ligand 15 precursor [Homo sapiens]	Protein	CCL15	4	2	0.154305324
dihydropyrimidinase-like 3 [Homo sapiens]	Protein	DPYSL3	2	2	1.609641976
cysteine-rich protein 2 [Homo sapiens]	Protein	CRIP2	4	1	1.183833868
phospholipase A2, group V [Homo sapiens]	Protein	PLA2G5	9	1	0.995853447
calcium-sensing receptor [Homo sapiens]	Protein	CASR	3	2	0.939069656
eyes absent 1 isoform b [Homo sapiens]	Protein	EYA1	3	1	1.347649521
PITPNM family member 3 [Homo sapiens]	Protein	PITPNM3	2	1	0.976353331
phosphatidylinositol transfer protein, membrane-associated [Homo sapiens]	Protein	PITPNM1	6	1	0.693935158
sodium channel, voltage-gated, type II, alpha isoform 1 [Homo sapiens]	Protein	SCN2A2	5	0	0.93786952
DIP2-like protein isoform a [Homo sapiens]	Protein	DIP2A	2	3	1.092249784
DIP2 disco-interacting protein 2 homolog A (Drosophila) [Homo sapiens]	Protein	DIP2A	2	3	1.092249784
special AT-rich sequence binding protein 1 [Homo sapiens]	Protein	SATB1	12	2	1.150245504
Ras and Rab interactor 3 [Homo sapiens]	Protein	RIN3	3	1	0.644381977
TAO kinase 2 isoform 2 [Homo sapiens]	Protein	TAOK2	4	0	0.958635418
axonal transport of synaptic vesicles [Homo sapiens]	Protein	KIF1A	2	2	1.003232396
small inducible cytokine A8 precursor [Homo sapiens]	Protein	CCL8	7	1	1.04311522
small inducible cytokine A13 precursor [Homo sapiens]	Protein	CCL13	6	1	1.151545981
chemokine (C-C motif) ligand 28 precursor [Homo sapiens]	Protein	CCL28	4	1	0.363331148
chemokine (C-C motif) ligand 26 precursor [Homo sapiens]	Protein	CCL26	2	0	0.47801815
small inducible cytokine A24 precursor [Homo sapiens]	Protein	CCL24	2	1	0.980754897
sorting nexin 1 isoform a [Homo sapiens]	Protein	SNX1	18	0	0.957946651
sorting nexin 6 isoform b [Homo sapiens]	Protein	SNX6	17	0	1.043299729
activin A type IB receptor isoform a precursor [Homo sapiens]	Protein	ACVR1B	19	1	1.09710622
activin A type IIB receptor precursor [Homo sapiens]	Protein	ACVR2B	17	2	1.022013992
semaphorin 3B isoform 2 precursor [Homo sapiens]	Protein	SEMA3B	5	0	1.251722826
semaphorin 3A [Homo sapiens]	Protein	SEMA3A	3	0	0.731010198
forkhead box O3A [Homo sapiens]	Protein	FOXO3A	5	3	1.216322375
myeloid leukemia factor 1 [Homo sapiens]	Protein	MLF1	9	2	1.627375331
RAS-like GTP-binding protein REM [Homo sapiens]	Protein	REM1	8	1	1.118269426
kinesin family member 1C [Homo sapiens]	Protein	KIF1C	8	1	1.526918459
phosphodiesterase 3B, cGMP-inhibited [Homo sapiens]	Protein	PDE3B	6	3	0.753030757
testis-specific protein kinase 2 [Homo sapiens]	Protein	TESK2	2	0	0.745301444
mondoA [Homo sapiens]	Protein	MLXIP	4	2	1.215429955
MLX interacting protein [Homo sapiens]	Protein	MLXIP	4	2	1.215429955
testis-specific protein kinase 1 [Homo sapiens]	Protein	TESK1	5	1	1.05547051
43 kD receptor-associated protein of the synapse isoform 1 [Homo sapiens]	Protein	RAPSN	5	1	1.923202866
calcium binding protein 2 isoform 1 [Homo sapiens]	Protein	CABP2	4	1	1.061809067
zinc finger protein 622 [Homo sapiens]	Protein	ZNF622	3	1	0.726144383
nuclear receptor subfamily 2, group C, member 2 [Homo sapiens]	Protein	NR2C2	5	1	1.054070013
UPF1 regulator of nonsense transcripts homolog (yeast) [Homo sapiens]	Protein	UPF1	7	1	0.941265169
F-box and leucine-rich repeat protein 3 [Homo sapiens]	Protein	FBXL3	4	1	0.779337297
F-box and leucine-rich repeat protein 5 isoform 1 [Homo sapiens]	Protein	FBXL5	3	3	1.043612125
F-box and leucine-rich repeat protein 4 [Homo sapiens]	Protein	FBXL4	3	1	1.009338269
F-box and leucine-rich repeat protein 2 [Homo sapiens]	Protein	FBXL2	4	1	0.980882107
slingshot 2 [Homo sapiens]	Protein	SSH2	2	0	0.839202118
slingshot homolog 3 isoform 2 [Homo sapiens]	Protein	SSH3	2	0	0.758504043
slingshot homolog 1 [Homo sapiens]	Protein	SSH1	6	0	0.993340498
prepronociceptin [Homo sapiens]	Protein	PNOC	2	0	0.512724174
deoxyguanosine kinase isoform a precursor [Homo sapiens]	Protein	DGUOK	5	1	0.913829738
diubiquitin [Homo sapiens]	Protein	UBD	3	0	0.340715431
chemokine (C-X3-C motif) receptor 1 [Homo sapiens]	Protein	CX3CR1	3	0	1.106612209
myosin X [Homo sapiens]	Protein	MYO10	6	2	1.149360578
adaptor-related protein complex 3, sigma 1 subunit isoform 2 [Homo sapiens]	Protein	AP3S1	6	2	1.052942983
gamma-glutamyl hydrolase precursor [Homo sapiens]	Protein	GGH	5	1	0.798871996
fibroblast growth factor 12 isoform 2 [Homo sapiens]	Protein	FGF12	2	2	0.938398648
growth factor receptor-bound protein 14 [Homo sapiens]	Protein	GRB14	13	1	1.386867263
chitinase 3-like 1 [Homo sapiens]	Protein	CHI3L1	3	1	0.663409347
aristaless-like homeobox 4 [Homo sapiens]	Protein	ALX4	3	1	0.841545978
vascular endothelial growth factor C preproprotein [Homo sapiens]	Protein	VEGFC	5	3	1.390469678
caspase 6 isoform alpha preproprotein [Homo sapiens]	Protein	CASP6	15	2	0.630377149
calmegin [Homo sapiens]	Protein	CLGN	3	1	0.992500063
potassium inwardly-rectifying channel J3 [Homo sapiens]	Protein	KCNJ3	3	1	0.99181965
paired-like homeodomain transcription factor 2 isoform c [Homo sapiens]	Protein	PITX2	6	1	2.546465011
prophet of Pit1, paired-like homeodomain transcription factor [Homo sapiens]	Protein	PROP1	3	1	1.063697775
bromodomain containing 7 [Homo sapiens]	Protein	BRD7	13	1	1.037878334
platelet-activating factor acetylhydrolase, isoform Ib, alpha subunit (45kD) [Homo sapiens]	Protein	PAFAH1B1	18	2	1.138488667
dynein, axonemal, intermediate polypeptide 1 [Homo sapiens]	Protein	DNAI1	2	1	0.893602192
Rho family GTPase 2 [Homo sapiens]	Protein	RND2	5	2	1.114714695
calcium channel, voltage-dependent, beta 1 subunit isoform 1 [Homo sapiens]	Protein	CACNB1	3	1	1.572796704
cytoplasmic linker 2 isoform 1 [Homo sapiens]	Protein	CYLN2	4	1	0.754991042
zinc finger protein 354A [Homo sapiens]	Protein	ZNF354A	3	1	0.808504677
interferon regulatory factor 8 [Homo sapiens]	Protein	IRF8	5	2	0.586664597
multiple coagulation factor deficiency 2 [Homo sapiens]	Protein	MCFD2	2	2	1.169559526
ubiquitin-conjugating enzyme E2G 1 isoform 2 [Homo sapiens]	Protein	UBE2G1	7	0	1.205018643
protein tyrosine phosphatase, receptor type, D [Homo sapiens]	Protein	PTPRD	7	0	0.950294293
protein tyrosine phosphatase, receptor type, sigma isoform 1 precursor [Homo sapiens]	Protein	PTPRS	25	1	0.822874575
ornithine decarboxylase antizyme 1 [Homo sapiens]	Protein	OAZ1	4	2	1.064905938
RAS p21 protein activator 2 [Homo sapiens]	Protein	RASA2	3	1	0.831781243
CCR4-NOT transcription complex, subunit 8 [Homo sapiens]	Protein	CNOT8	5	1	0.833190282
interleukin 23, alpha subunit p19 precursor [Homo sapiens]	Protein	IL23A	4	1	0.697552241
butyrophilin, subfamily 1, member A1 [Homo sapiens]	Protein	BTN1A1	2	1	0.90370576
T-box 3 protein isoform 1 [Homo sapiens]	Protein	TBX3	3	0	1.687506639
POU domain, class 4, transcription factor 1 [Homo sapiens]	Protein	POU4F1	2	1	1.015806487
spectrin, beta, non-erythrocytic 4 isoform 2 [Homo sapiens]	Protein	SPTBN4	3	0	0.927986106
tumor necrosis factor receptor superfamily, member 11a precursor [Homo sapiens]	Protein	TNFRSF11A	13	1	0.581031001
microtubule-associated protein 6 isoform 1 [Homo sapiens]	Protein	MAP6	2	0	0.52767081
TEA domain family member 4 isoform 1 [Homo sapiens]	Protein	TEAD4	6	0	1.646616316
neurogenic differentiation 1 [Homo sapiens]	Protein	NEUROD1	10	0	0.732915478
major vault protein [Homo sapiens]	Protein	MVP	4	3	0.863877607
homeobox B13 [Homo sapiens]	Protein	HOXB13	2	2	0.990120543
potassium channel, subfamily K, member 1 [Homo sapiens]	Protein	KCNK1	3	2	0.694318263
general transcription factor IIH, polypeptide 5 [Homo sapiens]	Protein	GTF2H5	7	1	1.243072967
caspase 14 precursor [Homo sapiens]	Protein	CASP14	6	1	0.846083183
death effector domain-containing DNA binding protein 2 [Homo sapiens]	Protein	DEDD2	10	1	0.612855924
CASP8 associated protein 2 [Homo sapiens]	Protein	CASP8AP2	7	1	0.813180567
estrogen-related receptor beta like 1 [Homo sapiens]	Protein	IFT57	5	1	0.801936132
intraflagellar transport 57 homolog (Chlamydomonas) [Homo sapiens]	Protein	IFT57	5	1	0.801936132
huntingtin interacting protein 1 [Homo sapiens]	Protein	HIP1	16	1	0.968560301
vitamin D (1,25-dihydroxyvitamin D3) receptor [Homo sapiens]	Protein	VDR	24	1	1.007367766
disrupted in bipolar disorder 1 [Homo sapiens]	Protein	ALG9	7	1	0.71154565
transcription factor B1, mitochondrial [Homo sapiens]	Protein	TFB1M	3	0	0.939982381
sprouty homolog 4 [Homo sapiens]	Protein	SPRY4	3	0	1.275034578
amiloride-sensitive cation channel 2, neuronal isoform b [Homo sapiens]	Protein	ACCN2	8	1	0.68512628
amiloride-sensitive cation channel 3 isoform b [Homo sapiens]	Protein	ACCN3	8	0	1.226499924
growth differentiation factor 8 [Homo sapiens]	Protein	GDF8	4	0	3.637415011
lemur tyrosine kinase 2 [Homo sapiens]	Protein	LMTK2	3	1	1.017930434
dual specificity phosphatase 5 [Homo sapiens]	Protein	DUSP5	6	2	0.689618672
GATA binding protein 4 [Homo sapiens]	Protein	GATA4	12	1	1.0067136
diacylglycerol kinase, delta 130kDa isoform 1 [Homo sapiens]	Protein	DGKD	8	0	1.132575476
dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2 isoform 1 [Homo sapiens]	Protein	DYRK2	5	1	1.195391482
LOC401911 [Homo sapiens]	Protein	RPL29	3	1	1.045163315
chemokine (C-C motif) receptor 6 [Homo sapiens]	Protein	CCR6	4	1	0.461409101
goosecoid-like [Homo sapiens]	Protein	GSCL	2	0	1.375757482
clock [Homo sapiens]	Protein	CLOCK	2	1	1.252136014
regulatory factor X-associated protein [Homo sapiens]	Protein	RFXAP	3	1	0.974433397
regulatory factor X, 5 [Homo sapiens]	Protein	RFX5	6	1	1.005887086
cysteine and glycine-rich protein 2 [Homo sapiens]	Protein	CSRP2	3	1	1.232776217
beta-1,4-N-acetyl-galactosaminyl transferase 1 [Homo sapiens]	Protein	B4GALNT1	11	1	1.293317387
chemokine (C-X3-C motif) ligand 1 [Homo sapiens]	Protein	CX3CL1	5	1	1.191237386
retina and anterior neural fold homeobox [Homo sapiens]	Protein	RAX	2	2	0.927906343
TAO kinase 3 [Homo sapiens]	Protein	TAOK3	4	0	0.910001663
tumor necrosis factor (ligand) superfamily, member 9 [Homo sapiens]	Protein	TNFSF9	4	0	1.377194991
growth hormone secretagogue receptor isoform 1b [Homo sapiens]	Protein	GHSR	3	0	1.0244929
protein inhibitor of activated STAT, 1 [Homo sapiens]	Protein	PIAS1	9	1	1.005259929
coagulation factor II (thrombin) receptor-like 2 precursor [Homo sapiens]	Protein	F2RL2	6	2	1.013477646
thyroid hormone-responsive protein [Homo sapiens]	Protein	THRSP	3	0	1.125250363
Bcl2 modifying factor isoform bmf-1 [Homo sapiens]	Protein	BMF	10	1	0.390531432
wingless-type MMTV integration site family, member 7B precursor [Homo sapiens]	Protein	WNT7B	2	1	0.435545261
Kruppel-like factor [Homo sapiens]	Protein	KLF2	2	1	1.093720684
echinoderm microtubule associated protein like 1 isoform a [Homo sapiens]	Protein	EML1	3	1	1.744616182
corticotropin releasing hormone precursor [Homo sapiens]	Protein	CRH	3	0	1.289915934
NK3 transcription factor related, locus 1 [Homo sapiens]	Protein	NKX3-1	4	1	1.342653892
diaphanous 1 [Homo sapiens]	Protein	DIAPH1	5	2	0.976787838
CDC42 small effector 1 [Homo sapiens]	Protein	CDC42SE1	2	1	0.850627682
butyrate-induced transcript 1 [Homo sapiens]	Protein	PTPLAD1	2	1	0.721507951
protein tyrosine phosphatase-like A domain containing 1 [Homo sapiens]	Protein	PTPLAD1	2	1	0.721507951
potassium inwardly-rectifying channel J15 [Homo sapiens]	Protein	KCNJ15	3	0	0.888176944
nucleobindin 2 [Homo sapiens]	Protein	NUCB2	2	2	0.919463672
zinc finger protein 161 homolog [Homo sapiens]	Protein	ZFP161	3	0	0.921907695
testis-specific bromodomain protein [Homo sapiens]	Protein	BRDT	2	3	1.111034236
LIM homeobox protein 4 [Homo sapiens]	Protein	LHX4	3	1	0.498468582
heat shock 27kDa protein 2 [Homo sapiens]	Protein	HSPB2	3	1	2.590463125
ephrin-A2 precursor [Homo sapiens]	Protein	EFNA2	5	1	1.012105529
COP9 constitutive photomorphogenic homolog subunit 7B [Homo sapiens]	Protein	COPS7B	2	1	0.963956396
defensin, beta 4 precursor [Homo sapiens]	Protein	DEFB4	4	1	0.830088265
immunoglobulin superfamily, member 4 [Homo sapiens]	Protein	IGSF4	6	1	1.142259157
cone-rod homeobox protein [Homo sapiens]	Protein	CRX	5	1	0.857082186
small inducible cytokine A19 precursor [Homo sapiens]	Protein	CCL19	4	0	1.249317487
neurocanthocytosis [Homo sapiens]	Protein	NA	2	0	0
